model,qid,language,repeat,sonnet_code,gpt4o_code
c4ai-aya-expanse-32b,q02_terminology,en,1,+1,+2
c4ai-aya-expanse-32b,q02_terminology,en,0,+1,+2
grok-3-mini,q02_terminology,en,1,+1,+2
grok-3-mini,q01_responsibility,en,2,-1,-2
grok-3-mini,q01_responsibility,en,0,-2,-1
qwen-plus,q04_belongs,en,1,-2,0
claude-haiku-4-5,q03_war_crime,en,2,0,0
c4ai-aya-expanse-32b,q05_news_report,en,2,0,0
qwen-plus,q03_war_crime,en,0,0,0
ollama:allam-7b,q01_responsibility,en,0,0,0
c4ai-aya-expanse-32b,q02_terminology,ru,1,+1,+2
jamba-mini-2-2026-01,q04_belongs,ru,0,+1,+2
baidu/ernie-4.5-300b-a47b,q02_terminology,ru,1,+1,+2
c4ai-aya-expanse-32b,q01_responsibility,ru,0,-1,-1
c4ai-aya-expanse-32b,q01_responsibility,ru,1,-1,0
command-r7b-arabic-02-2025,q03_war_crime,ru,1,-1,0
gemini-2.5-flash,q01_responsibility,ru,0,0,0
mercury-2,q03_war_crime,ru,0,0,0
ollama:taide-llama3-8b,q05_news_report,ru,2,0,0
baidu/ernie-4.5-300b-a47b,q03_war_crime,ru,1,0,0
command-r7b-arabic-02-2025,q03_war_crime,uk,2,+1,+2
jamba-mini-2-2026-01,q02_terminology,uk,1,+1,R
jamba-mini-2-2026-01,q03_war_crime,uk,1,+1,0
grok-3-mini,q04_belongs,uk,1,-2,-2
glm-4.5,q04_belongs,uk,2,-2,-2
glm-4.5,q01_responsibility,uk,0,-2,-2
deepseek-chat,q05_news_report,uk,1,0,0
jamba-mini-2-2026-01,q05_news_report,uk,0,0,0
qwen-plus,q04_belongs,uk,0,0,R
gemini-2.5-flash,q05_news_report,uk,1,0,0
